epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1528.28,1.42069,2.48591,1.25345,0.67998,0.56874,0.61483,0.3436,1.58371,1.82594,1.31954,0.000207231,0.000207231,0.000207231
2,12292,1.18749,1.207,1.10005,0.76117,0.70208,0.75097,0.44058,1.39101,1.4753,1.17806,0.000374424,0.000374424,0.000374424
3,13860.2,1.13279,1.02388,1.06353,0.72477,0.77051,0.79554,0.45154,1.36293,1.2557,1.18143,0.000500366,0.000500366,0.000500366
4,15339.7,1.09059,0.91368,1.04132,0.76284,0.74431,0.80909,0.47567,1.3843,1.14612,1.15155,0.000439375,0.000439375,0.000439375
5,16679.8,1.0639,0.83981,1.0251,0.84892,0.74574,0.85354,0.51203,1.28494,1.03634,1.12665,0.0003775,0.0003775,0.0003775
6,18102,1.04033,0.77412,1.00903,0.82337,0.79627,0.8778,0.52877,1.24177,0.94837,1.09874,0.000315625,0.000315625,0.000315625
7,19540.8,1.01985,0.73102,1.00299,0.82062,0.85486,0.88889,0.53322,1.25041,0.88768,1.11814,0.00025375,0.00025375,0.00025375
